firstName,surName,email,username,age,password,gender,verification,user_profile_pic,userProfile,Mental_Health_Insight,Interests,Coping,pendingSupportGroup
Leo,Miller,leo@gmail.com,LMiller2345,35,$2b$10$HFov3XI7AxGTtazqJaAyn.V3pqKFpRBNGoZgkG8Ti1LdccjmtKpdS,Male,1,user_default_male.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""Yes, but I'm not currently in treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Atheism"",""received_a_diagnosis"":""No"",""age"":35,""gender_identity"":""Male"",""sexual_orientation"":""Gay"",""religious_identity"":""No, I am not religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":true,""ptsd"":false,""ocd"":true,""schizophrenia"":true,""eatingDisorders"":true,""other"":true}","{""copingTechniques"":true,""personalStories"":false,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":true,""otherInterests"":true}","{""meditation"":true,""creativeActivities"":false,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":true}",[]
,,,,,,,,,,"{""depression"":true,""anxiety"":true,""bipolar"":false,""ptsd"":true,""ocd"":true,""schizophrenia"":true,""eatingDisorders"":true,""other"":true}","{""copingTechniques"":false,""personalStories"":true,""medication"":true,""reducingStigma"":false,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":true,""talking_to_friends_family"":false,""exercising"":true,""professional_help"":false,""copingother"":false}",[]
Sofia,Lopez,sofia@gmail.com,SLopez6789,23,$2b$10$9.1UcY18DwMbrJe8qTuR2.boEhXUZ9wp3M0c8fnjGjnaZhDY5f1Uq,Female,1,user_default_female.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""No, but I'm considering seeking treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Christianity"",""received_a_diagnosis"":""No"",""age"":23,""gender_identity"":""Female"",""sexual_orientation"":""Bisexual"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":true,""bipolar"":true,""ptsd"":true,""ocd"":true,""schizophrenia"":false,""eatingDisorders"":false,""other"":false}","{""copingTechniques"":true,""personalStories"":false,""medication"":true,""reducingStigma"":false,""healthyLifestyle"":true,""spirituality"":true,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":true,""talking_to_friends_family"":true,""exercising"":false,""professional_help"":false,""copingother"":true}",[]
Omar,Hussein,omar@gmail.com,OHussein12345,28,$2b$10$U.anIIbqfEkUWvLEFjqc.OrYuN7s28UanpF0FYxu86X1dJk9ZRQlG,Male,1,user_default_male.png,"{""primary_motivation"":""To gain knowledge about mental health and related topics"",""professional_treatment"":""Yes, but I'm not currently in treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""Yes"",""age"":28,""gender_identity"":""Male"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":true,""ptsd"":true,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":true,""other"":true}","{""copingTechniques"":true,""personalStories"":true,""medication"":true,""reducingStigma"":false,""healthyLifestyle"":false,""spirituality"":false,""otherInterests"":true}","{""meditation"":false,""creativeActivities"":true,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":true,""copingother"":false}",[]
Ella,Garcia,ella@gmail.com,EGarcia67890,26,$2b$10$0hwBWxsFidx5BaBgvRoi6OuyX8PPb1H/FQhVLz039gc79P00rfCba,Female,1,user_default_female.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Atheism"",""received_a_diagnosis"":""Yes"",""age"":26,""gender_identity"":""Female"",""sexual_orientation"":""Lesbian"",""religious_identity"":""No, I am not religious.""}","{""depression"":false,""anxiety"":true,""bipolar"":false,""ptsd"":false,""ocd"":false,""schizophrenia"":false,""eatingDisorders"":true,""other"":true}","{""copingTechniques"":true,""personalStories"":true,""medication"":true,""reducingStigma"":false,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":true}","{""meditation"":false,""creativeActivities"":true,""talking_to_friends_family"":false,""exercising"":true,""professional_help"":false,""copingother"":true}",
Aarav,Verma,aarav@gmail.com,AVerma123456,30,$2b$10$H3m5YyUnJYFxYzN6rUuFiO3IOP9GdYVh2AJ8QqLxJHMV60AHPA/zu,Male,1,user_default_male.png,"{""primary_motivation"":""To gain knowledge about mental health and related topics"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Hinduism"",""received_a_diagnosis"":""No"",""age"":30,""gender_identity"":""Male"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":false,""bipolar"":true,""ptsd"":false,""ocd"":true,""schizophrenia"":false,""eatingDisorders"":false,""other"":false}","{""copingTechniques"":false,""personalStories"":false,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":false,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":false,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":true}",[]
Aisha,Rahman,aisha@gmail.com,ARahman78901,28,$2b$10$g4hoZ0JknoxsM8CV1H52aO4OFemwAY1rxqgjwZRUveGnVDlsqzU5O,Female,1,user_default_female.png,"{""primary_motivation"":""To gain knowledge about mental health and related topics"",""professional_treatment"":""Yes, but I'm not currently in treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""Yes"",""age"":28,""gender_identity"":""Female"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":false,""ptsd"":false,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":true,""other"":false}","{""copingTechniques"":false,""personalStories"":false,""medication"":true,""reducingStigma"":false,""healthyLifestyle"":true,""spirituality"":true,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":true,""talking_to_friends_family"":true,""exercising"":false,""professional_help"":false,""copingother"":false}",[]
Lucas,Anderson,lucas@gmail.com,LAnderson234567,32,$2b$10$kIVOp0WvWQydFy6fkyhfluGxovAtizZmYjNbM5aZusA4eqBeUe3ju,Male,1,user_default_male.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""No, I prefer to keep it private."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Atheism"",""received_a_diagnosis"":""No"",""age"":32,""gender_identity"":""Male"",""sexual_orientation"":""Bisexual"",""religious_identity"":""No, I am not religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":true,""ptsd"":true,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":true,""other"":true}","{""copingTechniques"":false,""personalStories"":true,""medication"":false,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":false,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":false,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":true}",[]
Alice,Johnson,alice.johnson@gmail.com,AJohnson567890,28,$2b$10$LnH.vyWw2kxH3x73bMveceHs4KzPXDViBqkDvGaXRJ.kgmdLCEdee,Female,1,user_default_female.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Christianity"",""received_a_diagnosis"":""Yes"",""age"":28,""gender_identity"":""Female"",""sexual_orientation"":""Bisexual"",""religious_identity"":""I am spiritual but not religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":false,""ptsd"":false,""ocd"":false,""schizophrenia"":false,""eatingDisorders"":false,""other"":false}","{""copingTechniques"":true,""personalStories"":false,""medication"":false,""reducingStigma"":false,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":true,""talking_to_friends_family"":false,""exercising"":true,""professional_help"":true,""copingother"":true}",[]
Sara,Chung,sara.chung@gmail.com,SChung1234567,25,$2b$10$svwiLZcJns19q13eeZBTPuqy/PqFFQkWy9TDRS9P060u7ZsB0f/rG,Female,1,user_default_female.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Other"",""received_a_diagnosis"":""Yes"",""age"":25,""gender_identity"":""Female"",""sexual_orientation"":""Bisexual"",""religious_identity"":""No, I am not religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":false,""ptsd"":true,""ocd"":true,""schizophrenia"":true,""eatingDisorders"":true,""other"":false}","{""copingTechniques"":false,""personalStories"":true,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":false,""otherInterests"":true}","{""meditation"":true,""creativeActivities"":false,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":true}",[]
Ahmed,Rahman,ahmed.rahman@gmail.com,ARahman890123,30,$2b$10$OnD3SNoCzAof84eOEcEgeerymHfZp0OKuFGydghAPSQfVSl5Azd8a,Male,1,user_default_male.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""No"",""age"":30,""gender_identity"":""Male"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":true,""bipolar"":true,""ptsd"":false,""ocd"":true,""schizophrenia"":true,""eatingDisorders"":true,""other"":false}","{""copingTechniques"":false,""personalStories"":true,""medication"":false,""reducingStigma"":false,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":false,""talking_to_friends_family"":true,""exercising"":true,""professional_help"":false,""copingother"":false}",[]
Ravi,Nguyen,ravi.nguyen@gmail.com,RNguyen12345678,34,$2b$10$IZb5/uo.2ipKT8tRgbzZ3uyuB1RGDBOeOndWSwLT0i41xUyRCrYYe,Male,1,user_default_male.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Atheism"",""received_a_diagnosis"":""Yes"",""age"":34,""gender_identity"":""Male"",""sexual_orientation"":""Gay"",""religious_identity"":""No, I am not religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":true,""ptsd"":true,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":true,""other"":true}","{""copingTechniques"":false,""personalStories"":true,""medication"":false,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":false,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":false,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":true}",[]
Zara,Gonzalez,zara.gonzalez@gmail.com,ZGonzalez123456789,29,$2b$10$uA/wj7ZTHfyFhuoaStK4SuXf5Mt2JAcPyuL57F6eMEm0BQkx/VvPi,Female,1,user_default_female.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""No, but I'm considering seeking treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Other"",""received_a_diagnosis"":""No"",""age"":29,""gender_identity"":""Female"",""sexual_orientation"":""Queer"",""religious_identity"":""No, I am not religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":false,""ptsd"":false,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":true,""other"":false}","{""copingTechniques"":false,""personalStories"":false,""medication"":true,""reducingStigma"":false,""healthyLifestyle"":true,""spirituality"":true,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":true,""talking_to_friends_family"":true,""exercising"":false,""professional_help"":false,""copingother"":false}",[]
Aliyah,Kumar,aliyah.kumar@gmail.com,AKumar1234567890,22,$2b$10$KbUAcKJaIilN6xJBJWB/xuxzyqRtfK5I2uH3THSb7bFUA2349DU/S,Female,1,user_default_female.png,"{""primary_motivation"":""To gain knowledge about mental health and related topics"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""I'm open to it, but it's not a priority."",""religious"":""Hinduism"",""received_a_diagnosis"":""No"",""age"":22,""gender_identity"":""Female"",""sexual_orientation"":""Other"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":false,""bipolar"":true,""ptsd"":false,""ocd"":true,""schizophrenia"":false,""eatingDisorders"":false,""other"":false}","{""copingTechniques"":false,""personalStories"":false,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":false,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":false,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":true}",[]
Leila,Martinez,leila.martinez@gmail.com,LMartinez123456789,27,$2b$10$qoSQjcfymiV5urTzVshSEepEJkhjd5YsmvbyTz5mgVRiX679Bg6cy,Female,1,user_default_female.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Christianity"",""received_a_diagnosis"":""Yes"",""age"":27,""gender_identity"":""Female"",""sexual_orientation"":""Bisexual"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":false,""bipolar"":true,""ptsd"":false,""ocd"":true,""schizophrenia"":false,""eatingDisorders"":false,""other"":false}","{""copingTechniques"":false,""personalStories"":false,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":false,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":false,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":true}",[]
