firstName,surName,email,age,password,gender,verification,user_profile_pic,userProfile,interestsAndQuestions,pendingFriends
Leo,Miller,leo@example.com,35,$2a$10$EwS6F13CMm4G4HY24F3dzOQbZVjzK7BePtPZL3eVr6SfD1sAadkAy,Male,TRUE,user_default_male.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""Yes, but I'm not currently in treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Atheism"",""received_a_diagnosis"":""No"",""age"":35,""gender_identity"":""Male"",""sexual_orientation"":""Gay"",""religious_identity"":""No, I am not religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":true,""ptsd"":false,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":false,""other"":true,""eating_disorders"":false,""copingTechniques"":false,""personalStories"":false,""medication"":false,""reducingStigma"":false,""healthyLifestyle"":false,""spirituality"":false,""otherInterests"":false,""meditation"":false,""creativeActivities"":false,""talkToFriends"":true,""exercise"":true,""seekingHelp"":false,""otherCoping"":false,""creative_activities"":false,""talking_to_friends_family"":true,""exercising"":true,""professional_help"":false,""copingother"":false,""coping_techniques"":true,""personal_stories"":true,""reducing_stigma"":false,""healthy_lifestyle"":false}",[]
Sofia,Lopez,sofia@example.com,23,$2a$10$LtlZpxRPfAeX2q0eANg2ZOESyJ7QxsGtB37xK4yBQ3EJ9tUnR2Qfu,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""No, but I'm considering seeking treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Christianity"",""received_a_diagnosis"":""No"",""age"":23,""gender_identity"":""Female"",""sexual_orientation"":""Bisexual"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":true,""ptsd"":true,""ocd"":true,""schizophrenia"":true,""eatingDisorders"":true,""other"":true,""eating_disorders"":true,""copingTechniques"":false,""personalStories"":true,""medication"":true,""reducingStigma"":false,""healthyLifestyle"":true,""spirituality"":false,""otherInterests"":true,""meditation"":true,""creativeActivities"":true,""talkToFriends"":true,""exercise"":false,""seekingHelp"":false,""otherCoping"":false,""creative_activities"":true,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":true,""coping_techniques"":false,""personal_stories"":true,""reducing_stigma"":false,""healthy_lifestyle"":false}",[]
Omar,Hussein,omar@example.com,28,$2a$10$nB7nbD7i4OZgJzfq08inl.bOBlxtFoiOL2/wSUECFXZ//EpDOl7KW,Male,TRUE,user_default_male.png,"{""primary_motivation"":""To gain knowledge about mental health and related topics"",""professional_treatment"":""Yes, but I'm not currently in treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""Yes"",""age"":28,""gender_identity"":""Male"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":true,""bipolar"":false,""ptsd"":false,""ocd"":true,""schizophrenia"":true,""eatingDisorders"":false,""other"":false,""eating_disorders"":false,""copingTechniques"":false,""personalStories"":true,""medication"":true,""reducingStigma"":false,""healthyLifestyle"":true,""spirituality"":false,""otherInterests"":false,""meditation"":true,""creativeActivities"":false,""talkToFriends"":false,""exercise"":false,""seekingHelp"":true,""otherCoping"":false,""creative_activities"":false,""talking_to_friends_family"":false,""exercising"":true,""professional_help"":true,""copingother"":true,""coping_techniques"":true,""personal_stories"":true,""reducing_stigma"":true,""healthy_lifestyle"":false}",[]
Ella,Garcia,ella@example.com,26,$2a$10$pgg6Q/CDuJYvVDgPzI1mb.Jkj.gBpAIdT73lywzw.9DDwU4lZITv.,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Atheism"",""received_a_diagnosis"":""Yes"",""age"":26,""gender_identity"":""Female"",""sexual_orientation"":""Lesbian"",""religious_identity"":""No, I am not religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":false,""ptsd"":false,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":true,""other"":true,""eating_disorders"":false,""copingTechniques"":true,""personalStories"":false,""medication"":false,""reducingStigma"":false,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":true,""meditation"":false,""creativeActivities"":true,""talkToFriends"":false,""exercise"":true,""seekingHelp"":true,""otherCoping"":false,""creative_activities"":true,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":false,""coping_techniques"":true,""personal_stories"":false,""reducing_stigma"":false,""healthy_lifestyle"":true}",[]
Aarav,Verma,aarav@example.com,30,$2a$10$BZGdJ6x.LzY0KJK1n8or7eL6t2V9ezy0n5wDGbVoh11X/wZn17IQ6,Male,TRUE,user_default_male.png,"{""primary_motivation"":""To gain knowledge about mental health and related topics"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Hinduism"",""received_a_diagnosis"":""No"",""age"":30,""gender_identity"":""Male"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":true,""bipolar"":true,""ptsd"":true,""ocd"":false,""schizophrenia"":false,""eatingDisorders"":true,""other"":true,""eating_disorders"":true,""copingTechniques"":false,""personalStories"":false,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":false,""otherInterests"":true,""meditation"":false,""creativeActivities"":false,""talkToFriends"":true,""exercise"":true,""seekingHelp"":false,""otherCoping"":false,""creative_activities"":false,""talking_to_friends_family"":true,""exercising"":false,""professional_help"":true,""copingother"":false,""coping_techniques"":true,""personal_stories"":true,""reducing_stigma"":false,""healthy_lifestyle"":true}",[]
Aisha,Rahman,aisha@example.com,28,$2a$10$rrpppxDlz1DCWNSK6xzZ9uiL8nbojP18PtDTwAn59ZkAawvZM2s1G,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To gain knowledge about mental health and related topics"",""professional_treatment"":""Yes, but I'm not currently in treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""Yes"",""age"":28,""gender_identity"":""Female"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":false,""bipolar"":false,""ptsd"":true,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":true,""other"":true,""eating_disorders"":true,""copingTechniques"":false,""personalStories"":true,""medication"":false,""reducingStigma"":false,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":true,""meditation"":false,""creativeActivities"":true,""talkToFriends"":true,""exercise"":true,""seekingHelp"":true,""otherCoping"":true,""creative_activities"":false,""talking_to_friends_family"":false,""exercising"":true,""professional_help"":true,""copingother"":true,""coping_techniques"":false,""personal_stories"":true,""reducing_stigma"":false,""healthy_lifestyle"":true}",[]
Lucas,Anderson,lucas@example.com,32,$2a$10$vSwaqE9H0v.NHSdJ5m3i/eAdFlGMBTun.zvwzR71VAPKu0W7fEJZ.,Male,TRUE,user_default_male.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""No, I prefer to keep it private."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Atheism"",""received_a_diagnosis"":""No"",""age"":32,""gender_identity"":""Male"",""sexual_orientation"":""Bisexual"",""religious_identity"":""No, I am not religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":true,""ptsd"":false,""ocd"":false,""schizophrenia"":false,""eatingDisorders"":false,""other"":false,""eating_disorders"":false,""copingTechniques"":true,""personalStories"":true,""medication"":false,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":false,""otherInterests"":false,""meditation"":false,""creativeActivities"":true,""talkToFriends"":false,""exercise"":false,""seekingHelp"":true,""otherCoping"":false,""creative_activities"":true,""talking_to_friends_family"":true,""exercising"":false,""professional_help"":false,""copingother"":false,""coping_techniques"":false,""personal_stories"":false,""reducing_stigma"":true,""healthy_lifestyle"":true}",[]
Alice,Johnson,alice.johnson@example.com,28,$2a$10$XcbNUw.K7Z52jwTfd0U6nOmT3Z3PSQd83jNSe3ERbLD0p/b9uUMFC,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Christianity"",""received_a_diagnosis"":""Yes"",""age"":28,""gender_identity"":""Female"",""sexual_orientation"":""Bisexual"",""religious_identity"":""I am spiritual but not religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":false,""ptsd"":false,""ocd"":true,""schizophrenia"":false,""eatingDisorders"":false,""other"":false,""eating_disorders"":false,""copingTechniques"":true,""personalStories"":true,""medication"":false,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":false,""otherInterests"":false,""meditation"":true,""creativeActivities"":true,""talkToFriends"":false,""exercise"":true,""seekingHelp"":true,""otherCoping"":false,""creative_activities"":false,""talking_to_friends_family"":true,""exercising"":true,""professional_help"":true,""copingother"":false,""coping_techniques"":false,""personal_stories"":true,""reducing_stigma"":false,""healthy_lifestyle"":true}",
Sara,Chung,sara.chung@example.com,25,$2a$10$Y/BchmIglXs/3RqHlmj1leP9upbm8CxGwSfvoDnYMTL6Q1gujMwry,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Other"",""received_a_diagnosis"":""Yes"",""age"":25,""gender_identity"":""Female"",""sexual_orientation"":""Bisexual"",""religious_identity"":""No, I am not religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":true,""ptsd"":false,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":false,""other"":false,""eating_disorders"":false,""copingTechniques"":true,""personalStories"":true,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":false,""otherInterests"":false,""meditation"":true,""creativeActivities"":true,""talkToFriends"":true,""exercise"":false,""seekingHelp"":true,""otherCoping"":true,""creative_activities"":true,""talking_to_friends_family"":true,""exercising"":false,""professional_help"":true,""copingother"":false,""coping_techniques"":false,""personal_stories"":true,""reducing_stigma"":false,""healthy_lifestyle"":true}",
Ahmed,Rahman,ahmed.rahman@example.com,30,$2a$10$/JfdEp6ufnMzYkEfAe5r4OHFP9qzv1C2tjI7UJIt0F7O.lAr6BcFi,Male,TRUE,user_default_male.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""No"",""age"":30,""gender_identity"":""Male"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":true,""ptsd"":true,""ocd"":false,""schizophrenia"":false,""eatingDisorders"":false,""other"":false,""eating_disorders"":false,""copingTechniques"":true,""personalStories"":false,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":true,""otherInterests"":true,""meditation"":false,""creativeActivities"":true,""talkToFriends"":true,""exercise"":true,""seekingHelp"":true,""otherCoping"":false,""creative_activities"":true,""talking_to_friends_family"":true,""exercising"":true,""professional_help"":true,""copingother"":true,""coping_techniques"":false,""personal_stories"":false,""reducing_stigma"":false,""healthy_lifestyle"":true}",
Ravi,Nguyen,ravi.nguyen@example.com,34,$2a$10$R/2doC7uJUsWnjvFXmH8M.0IhYDb09tFTjrmG7i2F.9eO6r3NWa.u,Male,TRUE,user_default_male.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Atheism"",""received_a_diagnosis"":""Yes"",""age"":34,""gender_identity"":""Male"",""sexual_orientation"":""Gay"",""religious_identity"":""No, I am not religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":true,""ptsd"":false,""ocd"":true,""schizophrenia"":false,""eatingDisorders"":false,""other"":false,""eating_disorders"":false,""copingTechniques"":true,""personalStories"":true,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":true,""meditation"":true,""creativeActivities"":false,""talkToFriends"":true,""exercise"":true,""seekingHelp"":true,""otherCoping"":false,""creative_activities"":false,""talking_to_friends_family"":true,""exercising"":true,""professional_help"":true,""copingother"":true,""coping_techniques"":true,""personal_stories"":false,""reducing_stigma"":true,""healthy_lifestyle"":true}",
Zara,Gonzalez,zara.gonzalez@example.com,29,$2a$10$Q1A3weeirgWY3LvWvR/uPe8jU7cZ9TXd77Xf0y6j6eOrGNHUsPT5q,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""No, but I'm considering seeking treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Other"",""received_a_diagnosis"":""No"",""age"":29,""gender_identity"":""Female"",""sexual_orientation"":""Queer"",""religious_identity"":""No, I am not religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":false,""ptsd"":false,""ocd"":true,""schizophrenia"":false,""eatingDisorders"":false,""other"":false,""eating_disorders"":false,""copingTechniques"":true,""personalStories"":true,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":false,""otherInterests"":true,""meditation"":true,""creativeActivities"":true,""talkToFriends"":true,""exercise"":false,""seekingHelp"":true,""otherCoping"":true,""creative_activities"":true,""talking_to_friends_family"":true,""exercising"":false,""professional_help"":true,""copingother"":true,""coping_techniques"":true,""personal_stories"":true,""reducing_stigma"":true,""healthy_lifestyle"":false}",
Aliyah,Kumar,aliyah.kumar@example.com,22,$2a$10$LpT9UJxGZib7hEpx6EmkwOtcCoZOEX3b5VleVYc02AitjAMuWabLy,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To gain knowledge about mental health and related topics"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""I'm open to it, but it's not a priority."",""religious"":""Hinduism"",""received_a_diagnosis"":""No"",""age"":22,""gender_identity"":""Female"",""sexual_orientation"":""Other"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":true,""bipolar"":false,""ptsd"":true,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":false,""other"":true,""eating_disorders"":true,""copingTechniques"":false,""personalStories"":true,""medication"":true,""reducingStigma"":false,""healthyLifestyle"":true,""spirituality"":true,""otherInterests"":true,""meditation"":false,""creativeActivities"":true,""talkToFriends"":true,""exercise"":false,""seekingHelp"":true,""otherCoping"":true,""creative_activities"":true,""talking_to_friends_family"":true,""exercising"":true,""professional_help"":false,""copingother"":false,""coping_techniques"":true,""personal_stories"":true,""reducing_stigma"":false,""healthy_lifestyle"":true}",
